	0.16755	0.33715	0.36685	0.39665	0.7971	Source	Target
bc1012##L-Tryptophan##Microbe	-0.85079444	-0.18315309	-0.110369	-0.06558305	-4.05e-06	bc1012	L-Tryptophan
L-Tryptophan##bc1012##Metabolite	0.85079444	0.18315309	0.110369	0.06558305	4.05e-06	L-Tryptophan	bc1012
bc1012##L-Tyrosine##Microbe	-2.17514428	-0.46824988	-0.2821698	-0.16766986	-1.036e-05	bc1012	L-Tyrosine
L-Tyrosine##bc1012##Metabolite	2.17514428	0.46824988	0.2821698	0.16766986	1.036e-05	L-Tyrosine	bc1012
bc1012##L-Valine##Microbe	-6.34885287	-1.36673674	-0.82360264	-0.48939801	-3.025e-05	bc1012	L-Valine
L-Valine##bc1012##Metabolite	6.34885287	1.36673674	0.82360264	0.48939801	3.025e-05	L-Valine	bc1012
bc1012##Mg##Microbe	-0.05057982	-0.01088847	-0.00656145	-0.00389892	-2.4e-07	bc1012	Mg
Mg##bc1012##Metabolite	0.05057982	0.01088847	0.00656145	0.00389892	2.4e-07	Mg	bc1012
bc1012##Mn2+##Microbe	-0.05057982	-0.01088847	-0.00656145	-0.00389892	-2.4e-07	bc1012	Mn2+
Mn2+##bc1012##Metabolite	0.05057982	0.01088847	0.00656145	0.00389892	2.4e-07	Mn2+	bc1012
bc1012##Myristic acid##Microbe	-2.25402674	-0.48523114	-0.2924028	-0.17375047	-1.074e-05	bc1012	Myristic acid
Myristic acid##bc1012##Metabolite	2.25402674	0.48523114	0.2924028	0.17375047	1.074e-05	Myristic acid	bc1012
bc1012##N-Acetyl-D-glucosamine##Microbe	-1.6009021	-0.34463103	-0.20767645	-0.1234047	-7.63e-06	bc1012	N-Acetyl-D-glucosamine
N-Acetyl-D-glucosamine##bc1012##Metabolite	1.6009021	0.34463103	0.20767645	0.1234047	7.63e-06	N-Acetyl-D-glucosamine	bc1012
bc1012##NADP##Microbe	-0.10115964	-0.02177694	-0.0131229	-0.00779784	-4.8e-07	bc1012	NADP
NADP##bc1012##Metabolite	0.10115964	0.02177694	0.0131229	0.00779784	4.8e-07	NADP	bc1012
bc1012##Niacin##Microbe	0.05057982	0.01088847	0.00656145	0.00389892	2.4e-07	bc1012	Niacin
bc1012##Nicotinamide ribonucleotide##Microbe	-0.05057982	-0.01088847	-0.00656145	-0.00389892	-2.4e-07	bc1012	Nicotinamide ribonucleotide
Nicotinamide ribonucleotide##bc1012##Metabolite	0.05057982	0.01088847	0.00656145	0.00389892	2.4e-07	Nicotinamide ribonucleotide	bc1012
bc1012##O2##Microbe	-97.8219955	-20.08081228	-12.90385895	-8.74463519	-0.00056142	bc1012	O2
O2##bc1012##Metabolite	97.8219955	20.08081228	12.90385895	8.74463519	0.00056142	O2	bc1012
bc1012##Oxidized glutathione##Microbe	-0.02528991	-0.00544424	-0.00328072	-0.00194946	-1.2e-07	bc1012	Oxidized glutathione
Oxidized glutathione##bc1012##Metabolite	0.02528991	0.00544424	0.00328072	0.00194946	1.2e-07	Oxidized glutathione	bc1012
bc1012##PPi##Microbe	0.34887871	0.07510417	0.04525816	0.02689313	1.66e-06	bc1012	PPi
bc1012##Putrescine##Microbe	-0.05057982	-0.01088847	-0.00656145	-0.00389892	-2.4e-07	bc1012	Putrescine
Putrescine##bc1012##Metabolite	0.05057982	0.01088847	0.00656145	0.00389892	2.4e-07	Putrescine	bc1012
bc1012##Pyridoxal##Microbe	-0.05057982	-0.01088847	-0.00656145	-0.00389892	-2.4e-07	bc1012	Pyridoxal
Pyridoxal##bc1012##Metabolite	0.05057982	0.01088847	0.00656145	0.00389892	2.4e-07	Pyridoxal	bc1012
bc1012##Riboflavin##Microbe	-0.15173946	-0.03266541	-0.01968435	-0.01169676	-7.2e-07	bc1012	Riboflavin
Riboflavin##bc1012##Metabolite	0.15173946	0.03266541	0.01968435	0.01169676	7.2e-07	Riboflavin	bc1012
bc1012##S-Adenosyl-L-methionine##Microbe	-0.15173946	-0.03266541	-0.01968435	-0.01169676	-7.2e-07	bc1012	S-Adenosyl-L-methionine
S-Adenosyl-L-methionine##bc1012##Metabolite	0.15173946	0.03266541	0.01968435	0.01169676	7.2e-07	S-Adenosyl-L-methionine	bc1012
bc1012##Spermidine##Microbe	-0.05057982	-0.01088847	-0.00656145	-0.00389892	-2.4e-07	bc1012	Spermidine
Spermidine##bc1012##Metabolite	0.05057982	0.01088847	0.00656145	0.00389892	2.4e-07	Spermidine	bc1012
bc1012##Succinate##Microbe	89.9593462	23.76512908	10.70723154	1.5161196	0.0	bc1012	Succinate
bc1012##Sulfate##Microbe	-0.05057982	-0.01088847	-0.00656145	-0.00389892	-2.4e-07	bc1012	Sulfate
Sulfate##bc1012##Metabolite	0.05057982	0.01088847	0.00656145	0.00389892	2.4e-07	Sulfate	bc1012
bc1012##TRHL##Microbe	-1.06762577	-0.22983102	-0.13849737	-0.08229738	-5.09e-06	bc1012	TRHL
TRHL##bc1012##Metabolite	1.06762577	0.22983102	0.13849737	0.08229738	5.09e-06	TRHL	bc1012
bc1012##TTP##Microbe	-0.21485953	-0.04625346	-0.02787257	-0.01656233	-1.02e-06	bc1012	TTP
TTP##bc1012##Metabolite	0.21485953	0.04625346	0.02787257	0.01656233	1.02e-06	TTP	bc1012
bc1012##Thiamin##Microbe	-0.05057982	-0.01088847	-0.00656145	-0.00389892	-2.4e-07	bc1012	Thiamin
Thiamin##bc1012##Metabolite	0.05057982	0.01088847	0.00656145	0.00389892	2.4e-07	Thiamin	bc1012
bc1012##UMP##Microbe	-1.68778613	-0.36333482	-0.21894744	-0.13010211	-8.04e-06	bc1012	UMP
UMP##bc1012##Metabolite	1.68778613	0.36333482	0.21894744	0.13010211	8.04e-06	UMP	bc1012
bc1012##Zn2+##Microbe	-0.05057982	-0.01088847	-0.00656145	-0.00389892	-2.4e-07	bc1012	Zn2+
Zn2+##bc1012##Metabolite	0.05057982	0.01088847	0.00656145	0.00389892	2.4e-07	Zn2+	bc1012
bc1012##dATP##Microbe	-0.21485953	-0.04625346	-0.02787257	-0.01656233	-1.02e-06	bc1012	dATP
dATP##bc1012##Metabolite	0.21485953	0.04625346	0.02787257	0.01656233	1.02e-06	dATP	bc1012
bc1012##dGTP##Microbe	-0.31201584	-0.06716859	-0.04047614	-0.02405158	-1.49e-06	bc1012	dGTP
dGTP##bc1012##Metabolite	0.31201584	0.06716859	0.04047614	0.02405158	1.49e-06	dGTP	bc1012
bc1012##ddca##Microbe	-0.45080535	-0.09704623	-0.05848056	-0.03475009	-2.15e-06	bc1012	ddca
ddca##bc1012##Metabolite	0.45080535	0.09704623	0.05848056	0.03475009	2.15e-06	ddca	bc1012
bc1012##fe3##Microbe	-0.15173946	-0.03266541	-0.01968435	-0.01169676	-7.2e-07	bc1012	fe3
fe3##bc1012##Metabolite	0.15173946	0.03266541	0.01968435	0.01169676	7.2e-07	fe3	bc1012
bc1012##meso-2,6-Diaminopimelate##Microbe	-0.45080535	-0.09704623	-0.05848056	-0.03475009	-2.15e-06	bc1012	meso-2,6-Diaminopimelate
meso-2,6-Diaminopimelate##bc1012##Metabolite	0.45080535	0.09704623	0.05848056	0.03475009	2.15e-06	meso-2,6-Diaminopimelate	bc1012
bc1010##1,2-Diacyl-sn-glycerol dioctadecanoyl##Microbe	-1.85884602	-0.38158226	-0.24520341	-0.16616846	-1.035e-05	bc1010	1,2-Diacyl-sn-glycerol dioctadecanoyl
1,2-Diacyl-sn-glycerol dioctadecanoyl##bc1010##Metabolite	1.85884602	0.38158226	0.24520341	0.16616846	1.035e-05	1,2-Diacyl-sn-glycerol dioctadecanoyl	bc1010
bc1010##2-Oxoglutarate##Microbe	-0.08373993	-0.01719006	-0.01104627	-0.00748579	-4.7e-07	bc1010	2-Oxoglutarate
2-Oxoglutarate##bc1010##Metabolite	0.08373993	0.01719006	0.01104627	0.00748579	4.7e-07	2-Oxoglutarate	bc1010
bc1010##4-Hydroxybenzoate##Microbe	-0.04186996	-0.00859503	-0.00552314	-0.0037429	-2.3e-07	bc1010	4-Hydroxybenzoate
4-Hydroxybenzoate##bc1010##Metabolite	0.04186996	0.00859503	0.00552314	0.0037429	2.3e-07	4-Hydroxybenzoate	bc1010
bc1010##5-Aminolevulinate##Microbe	-0.3349597	-0.06876023	-0.04418508	-0.02994317	-1.87e-06	bc1010	5-Aminolevulinate
5-Aminolevulinate##bc1010##Metabolite	0.3349597	0.06876023	0.04418508	0.02994317	1.87e-06	5-Aminolevulinate	bc1010
bc1010##AMP##Microbe	-1.07093977	-0.21984156	-0.14126941	-0.09573489	-5.96e-06	bc1010	AMP
AMP##bc1010##Metabolite	1.07093977	0.21984156	0.14126941	0.09573489	5.96e-06	AMP	bc1010
bc1010##Acetate##Microbe	85.51665303	17.55478251	11.28064116	7.64461949	0.00047631	bc1010	Acetate
bc1010##Adenosine##Microbe	-0.53109347	-0.1090224	-0.07005741	-0.04747622	-2.96e-06	bc1010	Adenosine
Adenosine##bc1010##Metabolite	0.53109347	0.1090224	0.07005741	0.04747622	2.96e-06	Adenosine	bc1010
bc1010##Ala-Ala##Microbe	-0.37317655	-0.07660535	-0.04922633	-0.0333595	-2.08e-06	bc1010	Ala-Ala
Ala-Ala##bc1010##Metabolite	0.37317655	0.07660535	0.04922633	0.0333595	2.08e-06	Ala-Ala	bc1010
bc1010##BET##Microbe	-0.08373993	-0.01719006	-0.01104627	-0.00748579	-4.7e-07	bc1010	BET
BET##bc1010##Metabolite	0.08373993	0.01719006	0.01104627	0.00748579	4.7e-07	BET	bc1010
bc1010##BIOT##Microbe	-0.04186996	-0.00859503	-0.00552314	-0.0037429	-2.3e-07	bc1010	BIOT
BIOT##bc1010##Metabolite	0.04186996	0.00859503	0.00552314	0.0037429	2.3e-07	BIOT	bc1010
bc1010##CMP##Microbe	-1.25488794	-0.25760228	-0.16553431	-0.11217863	-6.99e-06	bc1010	CMP
CMP##bc1010##Metabolite	1.25488794	0.25760228	0.16553431	0.11217863	6.99e-06	CMP	bc1010
bc1010##CO2##Microbe	108.27107679	22.22579039	14.2822143	9.6787135	0.00060304	bc1010	CO2
bc1010##Ca2+##Microbe	-0.04186996	-0.00859503	-0.00552314	-0.0037429	-2.3e-07	bc1010	Ca2+
Ca2+##bc1010##Metabolite	0.04186996	0.00859503	0.00552314	0.0037429	2.3e-07	Ca2+	bc1010
bc1010##Chorismate##Microbe	-0.08373993	-0.01719006	-0.01104627	-0.00748579	-4.7e-07	bc1010	Chorismate
Chorismate##bc1010##Metabolite	0.08373993	0.01719006	0.01104627	0.00748579	4.7e-07	Chorismate	bc1010
bc1010##Cl-##Microbe	-0.04186996	-0.00859503	-0.00552314	-0.0037429	-2.3e-07	bc1010	Cl-
Cl-##bc1010##Metabolite	0.04186996	0.00859503	0.00552314	0.0037429	2.3e-07	Cl-	bc1010
bc1010##Co2+##Microbe	-0.04186996	-0.00859503	-0.00552314	-0.0037429	-2.3e-07	bc1010	Co2+
Co2+##bc1010##Metabolite	0.04186996	0.00859503	0.00552314	0.0037429	2.3e-07	Co2+	bc1010
bc1010##CoA##Microbe	-0.08373993	-0.01719006	-0.01104627	-0.00748579	-4.7e-07	bc1010	CoA
CoA##bc1010##Metabolite	0.08373993	0.01719006	0.01104627	0.00748579	4.7e-07	CoA	bc1010
bc1010##Cu2+##Microbe	-0.04186996	-0.00859503	-0.00552314	-0.0037429	-2.3e-07	bc1010	Cu2+
Cu2+##bc1010##Metabolite	0.04186996	0.00859503	0.00552314	0.0037429	2.3e-07	Cu2+	bc1010
bc1010##D-Arabinose##Microbe	-1.11952966	-0.22981605	-0.14767898	-0.1000785	-6.24e-06	bc1010	D-Arabinose
D-Arabinose##bc1010##Metabolite	1.11952966	0.22981605	0.14767898	0.1000785	6.24e-06	D-Arabinose	bc1010
bc1010##D-Glucose##Microbe	-55.32246911	-11.35654728	-7.29767712	-4.94546045	-0.00030813	bc1010	D-Glucose
D-Glucose##bc1010##Metabolite	55.32246911	11.35654728	7.29767712	4.94546045	0.00030813	D-Glucose	bc1010
bc1010##Deoxycytidine##Microbe	-0.31563857	-0.064794	-0.0416364	-0.02821599	-1.76e-06	bc1010	Deoxycytidine
Deoxycytidine##bc1010##Metabolite	0.31563857	0.064794	0.0416364	0.02821599	1.76e-06	Deoxycytidine	bc1010
bc1010##Deoxyguanosine##Microbe	-0.04186996	-0.00859503	-0.00552314	-0.0037429	-2.3e-07	bc1010	Deoxyguanosine
Deoxyguanosine##bc1010##Metabolite	0.04186996	0.00859503	0.00552314	0.0037429	2.3e-07	Deoxyguanosine	bc1010
bc1010##Folate##Microbe	-0.12560989	-0.02578509	-0.01656941	-0.01122869	-7e-07	bc1010	Folate
Folate##bc1010##Metabolite	0.12560989	0.02578509	0.01656941	0.01122869	7e-07	Folate	bc1010
bc1010##Fumarate##Microbe	-0.04186996	-0.00859503	-0.00552314	-0.0037429	-2.3e-07	bc1010	Fumarate
Fumarate##bc1010##Metabolite	0.04186996	0.00859503	0.00552314	0.0037429	2.3e-07	Fumarate	bc1010
bc1010##GTP##Microbe	-2.02036958	-0.41473967	-0.26651025	-0.18060759	-1.125e-05	bc1010	GTP
GTP##bc1010##Metabolite	2.02036958	0.41473967	0.26651025	0.18060759	1.125e-05	GTP	bc1010
bc1010##Glycerol##Microbe	-0.92942301	-0.19079113	-0.1226017	-0.08308423	-5.18e-06	bc1010	Glycerol
Glycerol##bc1010##Metabolite	0.92942301	0.19079113	0.1226017	0.08308423	5.18e-06	Glycerol	bc1010
bc1010##Glycine##Microbe	-7.44015319	-1.52730803	-0.98144274	-0.66510017	-4.144e-05	bc1010	Glycine
Glycine##bc1010##Metabolite	7.44015319	1.52730803	0.98144274	0.66510017	4.144e-05	Glycine	bc1010
bc1010##H+##Microbe	76.75628164	15.75646126	10.12504628	6.86150061	0.00042751	bc1010	H+
bc1010##H2O##Microbe	199.13101904	40.87743857	26.26769745	17.80098748	0.00110911	bc1010	H2O
bc1010##Heme##Microbe	-0.04186996	-0.00859503	-0.00552314	-0.0037429	-2.3e-07	bc1010	Heme
Heme##bc1010##Metabolite	0.04186996	0.00859503	0.00552314	0.0037429	2.3e-07	Heme	bc1010
bc1010##K+##Microbe	-0.04186996	-0.00859503	-0.00552314	-0.0037429	-2.3e-07	bc1010	K+
K+##bc1010##Metabolite	0.04186996	0.00859503	0.00552314	0.0037429	2.3e-07	K+	bc1010
bc1010##L-Alanine##Microbe	-6.75827294	-1.38733226	-0.8914948	-0.60414461	-3.764e-05	bc1010	L-Alanine
L-Alanine##bc1010##Metabolite	6.75827294	1.38733226	0.8914948	0.60414461	3.764e-05	L-Alanine	bc1010
bc1010##L-Arginine##Microbe	-3.68089844	-0.75561156	-0.48555332	-0.32904782	-2.05e-05	bc1010	L-Arginine
L-Arginine##bc1010##Metabolite	3.68089844	0.75561156	0.48555332	0.32904782	2.05e-05	L-Arginine	bc1010
bc1010##L-Asparagine##Microbe	-2.99654367	-0.61512782	-0.39527896	-0.26787106	-1.669e-05	bc1010	L-Asparagine
L-Asparagine##bc1010##Metabolite	2.99654367	0.61512782	0.39527896	0.26787106	1.669e-05	L-Asparagine	bc1010
bc1010##L-Aspartate##Microbe	-2.99654367	-0.61512782	-0.39527896	-0.26787106	-1.669e-05	bc1010	L-Aspartate
L-Aspartate##bc1010##Metabolite	2.99654367	0.61512782	0.39527896	0.26787106	1.669e-05	L-Aspartate	bc1010
bc1010##L-Cysteine##Microbe	-1.13616179	-0.23323028	-0.14987295	-0.1015653	-6.33e-06	bc1010	L-Cysteine
L-Cysteine##bc1010##Metabolite	1.13616179	0.23323028	0.14987295	0.1015653	6.33e-06	L-Cysteine	bc1010
bc1010##L-Glutamate##Microbe	-2.10755711	-0.43263745	-0.2780113	-0.18840158	-1.174e-05	bc1010	L-Glutamate
L-Glutamate##bc1010##Metabolite	2.10755711	0.43263745	0.2780113	0.18840158	1.174e-05	L-Glutamate	bc1010
bc1010##L-Glutamine##Microbe	-4.80353291	-0.98606497	-0.63364186	-0.42940386	-2.675e-05	bc1010	L-Glutamine
L-Glutamine##bc1010##Metabolite	4.80353291	0.98606497	0.63364186	0.42940386	2.675e-05	L-Glutamine	bc1010
bc1010##L-Histidine##Microbe	-1.18267134	-0.24277772	-0.1560081	-0.10572294	-6.59e-06	bc1010	L-Histidine
L-Histidine##bc1010##Metabolite	1.18267134	0.24277772	0.1560081	0.10572294	6.59e-06	L-Histidine	bc1010
bc1010##L-Isoleucine##Microbe	-3.607812	-0.74060844	-0.47591236	-0.32251438	-2.009e-05	bc1010	L-Isoleucine
L-Isoleucine##bc1010##Metabolite	3.607812	0.74060844	0.47591236	0.32251438	2.009e-05	L-Isoleucine	bc1010
