	Source	Target	SourceType	Weight	Variance	ABS_Weight	Sign_Weight	ABSRootWeight	SignedRootWeight
60	bc1008	Ca2+	Microbe	-0.00016030061160837326	8.460620660164613e-13	0.00016030061160837326	-1.0	0.012660987781700654	-0.012660987781700654
61	bc1012	L-Threonine	Microbe	-0.03759728390128733	0.00016427274860114565	0.03759728390128733	-1.0	0.19390019056537136	-0.19390019056537136
62	bc1012	L-Asparagine	Microbe	-0.03577294312126521	0.00014871744796156685	0.03577294312126521	-1.0	0.18913736574581239	-0.18913736574581239
63	bc1008	Niacin	Microbe	0.00016030061160898245	8.460620660228752e-13	0.00016030061160898245	1.0	0.012660987781724711	0.012660987781724711
64	bc1010	Ca2+	Microbe	-0.0003824115699092317	7.224480025230216e-10	0.0003824115699092317	-1.0	0.01955534632547406	-0.01955534632547406
65	bc1012	Chorismate	Microbe	-0.0009996929608742382	1.1614107683981966e-07	0.0009996929608742382	-1.0	0.03161792151413875	-0.03161792151413875
66	bc1012	ddca	Microbe	-0.004455007192500439	2.3064784393391402e-06	0.004455007192500439	-1.0	0.06674584026364819	-0.06674584026364819
67	bc1012	Folate	Microbe	-0.0014995394412801338	2.6131742288354243e-07	0.0014995394412801338	-1.0	0.038723887218100064	-0.038723887218100064
68	bc1010	L-Valine	Microbe	-0.04800085781091016	1.1382628059047546e-05	0.04800085781091016	-1.0	0.21909098066992663	-0.21909098066992663
69	bc1008	L-Valine	Microbe	-0.020121166487423355	1.3330246299658907e-08	0.020121166487423355	-1.0	0.14184909759114914	-0.14184909759114914
70	bc1008	Glucose-1-phosphate	Microbe	-0.0037600133136936166	4.654902943309821e-10	0.0037600133136936166	-1.0	0.061318947428128746	-0.061318947428128746
71	bc1010	Glycerol	Microbe	-0.008488713275088695	3.559821952679384e-07	0.008488713275088695	-1.0	0.09213421337965987	-0.09213421337965987
72	bc1008	Glycerol	Microbe	-0.003558328347893995	4.168923307170903e-10	0.003558328347893995	-1.0	0.059651725439370105	-0.059651725439370105
73	bc1010	Mn2+	Microbe	-0.0003824115699086432	7.224480025603062e-10	0.0003824115699086432	-1.0	0.01955534632545901	-0.01955534632545901
74	bc1008	Mn2+	Microbe	-0.0001603006116089757	8.460620660227757e-13	0.0001603006116089757	-1.0	0.012660987781724446	-0.012660987781724446
75	bc1012	1,2-Diacyl-sn-glycerol dioctadecanoyl	Microbe	-0.022191030752342432	5.7227863250351145e-05	0.022191030752342432	-1.0	0.14896654239238566	-0.14896654239238566
76	bc1012	L-Glutamate	Microbe	-0.045479421973805764	0.0002403712117601429	0.045479421973805764	-1.0	0.21325904898457596	-0.21325904898457596
77	bc1012	dGTP	Microbe	-0.00308344352026756	1.1049040763124448e-06	0.00308344352026756	-1.0	0.05552876299961633	-0.05552876299961633
78	bc1012	Mg	Microbe	-0.000499846480431499	2.9035269209638138e-08	0.000499846480431499	-1.0	0.022357246709545857	-0.022357246709545857
79	bc1012	L-Tyrosine	Microbe	-0.021495493538494677	5.369667846149841e-05	0.021495493538494677	-1.0	0.14661341527464217	-0.14661341527464217
80	bc1010	D-Arabinose	Microbe	-0.01022501724710016	5.165027595809936e-07	0.01022501724710016	-1.0	0.10111882736216911	-0.10111882736216911
81	bc1012	Oxidized glutathione	Microbe	-0.0002499232402148918	7.258817302338733e-09	0.0002499232402148918	-1.0	0.015808960756953375	-0.015808960756953375
82	bc1010	BIOT	Microbe	-0.0003824115699078372	7.224480025522457e-10	0.0003824115699078372	-1.0	0.019555346325438403	-0.019555346325438403
83	bc1008	BIOT	Microbe	-0.00016030061160899955	8.460620660230742e-13	0.00016030061160899955	-1.0	0.012660987781725388	-0.012660987781725388
84	bc1012	O2	Microbe	-1.6340210332861311	0.1578436636354503	1.6340210332861311	-1.0	1.2782883216575716	-1.2782883216575716
85	bc1010	CoA	Microbe	-0.0007648231398182592	2.8897920097584147e-09	0.0007648231398182592	-1.0	0.02765543599038459	-0.02765543599038459
86	bc1008	CoA	Microbe	-0.00032060122321961944	3.3842482641265045e-12	0.00032060122321961944	-1.0	0.01790534063400134	-0.01790534063400134
87	bc1008	S-Adenosyl-L-methionine	Microbe	-0.00016030061160786819	8.460620660111412e-13	0.00016030061160786819	-1.0	0.012660987781680708	-0.012660987781680708
88	bc1010	Fumarate	Microbe	-0.0003824115699184736	7.224480023112936e-10	0.0003824115699184736	-1.0	0.01955534632571036	-0.01955534632571036
89	bc1010	L-Glutamine	Microbe	-0.04387218009022423	9.50874015159784e-06	0.04387218009022423	-1.0	0.20945686928392734	-0.20945686928392734
90	bc1010	L-Serine	Microbe	-0.029464736917430914	4.288937161198973e-06	0.029464736917430914	-1.0	0.1716529548753266	-0.1716529548753266
91	bc1008	L-Serine	Microbe	-0.012190830265244049	4.893261595290109e-09	0.012190830265244049	-1.0	0.11041209293027665	-0.11041209293027665
92	bc1008	5-Aminolevulinate	Microbe	-0.0012824048928695947	5.4147972225273096e-11	0.0012824048928695947	-1.0	0.03581068126787865	-0.03581068126787865
93	bc1008	L-Methionine	Microbe	-0.007300600229950279	1.7548863677443739e-09	0.007300600229950279	-1.0	0.08544354996107242	-0.08544354996107242
94	bc1010	L-Leucine	Microbe	-0.05115641357091911	1.292839841315018e-05	0.05115641357091911	-1.0	0.22617783616198806	-0.22617783616198806
95	bc1008	BET	Microbe	-0.00032060122322760654	3.384248264294957e-12	0.00032060122322760654	-1.0	0.017905340634224377	-0.017905340634224377
96	bc1008	L-Leucine	Microbe	-0.02144392332351187	1.514050483010663e-08	0.02144392332351187	-1.0	0.14643743825781666	-0.14643743825781666
97	bc1010	BET	Microbe	-0.0007648231398172519	2.8897920100451217e-09	0.0007648231398172519	-1.0	0.027655435990366378	-0.027655435990366378
98	bc1008	Co2+	Microbe	-0.0001603006116090194	8.460620660232233e-13	0.0001603006116090194	-1.0	0.012660987781726172	-0.012660987781726172
99	bc1010	5-Aminolevulinate	Microbe	-0.00305929255927236	4.623667215966344e-08	0.00305929255927236	-1.0	0.05531087198076306	-0.05531087198076306
100	bc1010	L-Methionine	Microbe	-0.01665141730484763	1.3697678151805872e-06	0.01665141730484763	-1.0	0.12904037083350167	-0.12904037083350167
101	bc1010	Co2+	Microbe	-0.00038241156990980325	7.224480024910499e-10	0.00038241156990980325	-1.0	0.019555346325488672	-0.019555346325488672
102	bc1010	L-Isoleucine	Microbe	-0.03295128418625224	5.364005780226593e-06	0.03295128418625224	-1.0	0.18152488585935606	-0.18152488585935606
103	bc1010	Succinate	Microbe	0.0003824115698714669	7.224480040547978e-10	0.0003824115698714669	1.0	0.01955534632450847	0.01955534632450847
104	bc1012	Myristic acid	Microbe	-0.022275035962495113	5.7661960983449835e-05	0.022275035962495113	-1.0	0.14924823604483609	-0.14924823604483609
105	bc1012	Cu2+	Microbe	-0.0004998464804311653	2.9035269209558417e-08	0.0004998464804311653	-1.0	0.022357246709538394	-0.022357246709538394
106	bc1010	Ala-Ala	Microbe	-0.003408339082362101	5.738919551140292e-08	0.003408339082362101	-1.0	0.05838098219764807	-0.05838098219764807
107	bc1012	meso-2,6-Diaminopimelate	Microbe	-0.004455007192497133	2.3064784393445964e-06	0.004455007192497133	-1.0	0.06674584026362342	-0.06674584026362342
108	bc1012	L-Arginine	Microbe	-0.04394281704918111	0.00022440285081476818	0.04394281704918111	-1.0	0.2096254208085964	-0.2096254208085964
109	bc1012	AMP	Microbe	-0.019125182247518826	4.250732199333048e-05	0.019125182247518826	-1.0	0.13829382577511848	-0.13829382577511848
110	bc1012	L-Cysteine	Microbe	-0.013563577103632572	2.1379673137512557e-05	0.013563577103632572	-1.0	0.11646277132042054	-0.11646277132042054
111	bc1012	Sulfate	Microbe	-0.0004998464804310894	2.90352692093983e-08	0.0004998464804310894	-1.0	0.022357246709536698	-0.022357246709536698
112	bc1010	NH3	Microbe	0.0003824115699084904	7.224480024882076e-10	0.0003824115699084904	1.0	0.0195553463254551	0.0195553463254551
113	bc1008	Zn2+	Microbe	-0.00016030061160936867	8.460620660269522e-13	0.00016030061160936867	-1.0	0.012660987781739965	-0.012660987781739965
114	bc1010	Zn2+	Microbe	-0.00038241156991066617	7.224480025001671e-10	0.00038241156991066617	-1.0	0.019555346325510734	-0.019555346325510734
115	bc1012	L-Tryptophan	Microbe	-0.00840783142096228	8.215245968784594e-06	0.00840783142096228	-1.0	0.09169422784975224	-0.09169422784975224
116	bc1008	D-Alanine	Microbe	-0.002857438856279687	2.68834967504474e-10	0.002857438856279687	-1.0	0.0534550171291684	-0.0534550171291684
117	bc1012	L-Alanine	Microbe	-0.08068072413160418	0.0007564707761856174	0.08068072413160418	-1.0	0.28404352506544517	-0.28404352506544517
118	O2	bc1012	Metabolite	0.01591071044058465	0.02840545648648639	0.01591071044058465	1.0	0.12613766463901513	0.12613766463901513
119	bc1010	Chorismate	Microbe	-0.0007648231398158031	2.8897920100174604e-09	0.0007648231398158031	-1.0	0.027655435990340184	-0.027655435990340184
120	bc1008	Chorismate	Microbe	-0.00032060122321624947	3.3842482640553044e-12	0.00032060122321624947	-1.0	0.017905340633907234	-0.017905340633907234
121	bc1008	L-Lactate	Microbe	0.9936963946860364	3.2511671115730155e-05	0.9936963946860364	1.0	0.9968432146962913	0.9968432146962913
122	bc1010	Folate	Microbe	-0.0011472347097291101	6.502032022526722e-09	0.0011472347097291101	-1.0	0.0338708533953473	-0.0338708533953473
123	bc1010	2-Oxoglutarate	Microbe	-0.0007648231398178827	2.8897920099363988e-09	0.0007648231398178827	-1.0	0.027655435990377782	-0.027655435990377782
124	bc1008	2-Oxoglutarate	Microbe	-0.0003206012232156329	3.3842482640423773e-12	0.0003206012232156329	-1.0	0.017905340633890016	-0.017905340633890016
125	bc1012	Glycine	Microbe	-0.08932090373803785	0.000927168775367093	0.08932090373803785	-1.0	0.2988660297491802	-0.2988660297491802
126	bc1008	Uridine	Microbe	-0.005349033353443055	9.420684871710625e-10	0.005349033353443055	-1.0	0.07313708603330499	-0.07313708603330499
127	bc1012	CO2	Microbe	1.9178838363689181	0.022750423298725526	1.9178838363689181	1.0	1.384876830757493	1.384876830757493
128	bc1012	Deoxycytidine	Microbe	-0.0035832900006969354	1.4921637852622153e-06	0.0035832900006969354	-1.0	0.05986058804169013	-0.05986058804169013
129	bc1008	NADP	Microbe	-0.0004809018348221757	7.614558594054776e-12	0.0004809018348221757	-1.0	0.02192947411184718	-0.02192947411184718
130	bc1010	NADP	Microbe	-0.0007648231398004401	2.889792010757036e-09	0.0007648231398004401	-1.0	0.027655435990062427	-0.027655435990062427
131	bc1012	UMP	Microbe	-0.016679259477507972	3.233003019229258e-05	0.016679259477507972	-1.0	0.12914820741112892	-0.12914820741112892
132	bc1008	dGTP	Microbe	-0.0006900556286608285	1.5678339705445962e-11	0.0006900556286608285	-1.0	0.02626890992524868	-0.02626890992524868
133	bc1008	L-Glutamate	Microbe	-0.013944034108055623	6.401897812201646e-09	0.013944034108055623	-1.0	0.11808485977489079	-0.11808485977489079
134	bc1012	Pyridoxal	Microbe	-0.000499846480430333	2.9035269209415117e-08	0.000499846480430333	-1.0	0.022357246709519777	-0.022357246709519777
135	bc1010	L-Glutamate	Microbe	-0.019248983373849768	1.8304595769285948e-06	0.019248983373849768	-1.0	0.13874070554040643	-0.13874070554040643
136	bc1010	dGTP	Microbe	-0.0025004149521991705	3.088650175390449e-08	0.0025004149521991705	-1.0	0.05000414934982066	-0.05000414934982066
137	bc1012	Riboflavin	Microbe	-0.001499539441270934	2.6131742288945377e-07	0.001499539441270934	-1.0	0.03872388721798128	-0.03872388721798128
138	bc1012	Heme	Microbe	-0.0004998464804298944	2.9035269209793807e-08	0.0004998464804298944	-1.0	0.02235724670950997	-0.02235724670950997
139	bc1008	H+	Microbe	2.414798567090334	0.00019199666442233572	2.414798567090334	1.0	1.5539622154641772	1.5539622154641772
140	bc1008	L-Tyrosine	Microbe	-0.00689359812653773	1.564673721102464e-09	0.00689359812653773	-1.0	0.08302769493691686	-0.08302769493691686
141	bc1010	Mg	Microbe	-0.0003824115699046245	7.22448002636243e-10	0.0003824115699046245	-1.0	0.019555346325356257	-0.019555346325356257
142	bc1010	L-Tyrosine	Microbe	-0.016445300210815618	1.336066761317502e-06	0.016445300210815618	-1.0	0.12823923038920507	-0.12823923038920507
143	bc1012	L-Histidine	Microbe	-0.014118811254072891	2.3165882277946677e-05	0.014118811254072891	-1.0	0.11882260413773506	-0.11882260413773506
144	bc1010	H+	Microbe	1.4397772452609912	0.16767481361592074	1.4397772452609912	1.0	1.1999071819357492	1.1999071819357492
145	bc1012	L-Proline	Microbe	-0.032838134040367235	0.00012531686526035327	0.032838134040367235	-1.0	0.1812129521871084	-0.1812129521871084
146	bc1008	Oxidized glutathione	Microbe	-8.015030580392008e-05	2.115155165027107e-13	8.015030580392008e-05	-1.0	0.00895267031694567	-0.00895267031694567
147	bc1010	Oxidized glutathione	Microbe	-0.00019120578495487165	1.806120006062819e-10	0.00019120578495487165	-1.0	0.01382771799520339	-0.01382771799520339
148	bc1012	L-Lysine	Microbe	-0.050843584347519274	0.00030041727295294733	0.050843584347519274	-1.0	0.2254852197983701	-0.2254852197983701
149	bc1010	O2	Microbe	-1.632177049718659	0.15684021904009252	1.632177049718659	-1.0	1.2775668474559987	-1.2775668474559987
150	bc1008	L-Glutamine	Microbe	-0.012515314679915812	5.157217080719154e-09	0.012515314679915812	-1.0	0.11187186724067769	-0.11187186724067769
151	bc1012	H2O	Microbe	2.6517011058184408	0.52439076889632	2.6517011058184408	1.0	1.6284044662854622	1.6284044662854622
152	bc1008	L-Isoleucine	Microbe	-0.013812633884539117	6.281811004661588e-09	0.013812633884539117	-1.0	0.11752716232658354	-0.11752716232658354
153	bc1012	L-Phenylalanine	Microbe	-0.02752375002900063	8.80375179650689e-05	0.02752375002900063	-1.0	0.16590283309516035	-0.16590283309516035
154	bc1010	L-Cysteine	Microbe	-0.01037692374925949	5.319634559395288e-07	0.01037692374925949	-1.0	0.1018671868133183	-0.1018671868133183
155	bc1012	Niacin	Microbe	0.0004998464804306864	2.9035269210136345e-08	0.0004998464804306864	1.0	0.022357246709527684	0.022357246709527684
156	D-Glucose	bc1008	Metabolite	0.05712456154206641	1.0744287581163904e-07	0.05712456154206641	1.0	0.2390074508086859	0.2390074508086859
157	bc1012	PPi	Microbe	0.0034477345055383204	1.3814024149860803e-06	0.0034477345055383204	1.0	0.058717412285780445	0.058717412285780445
158	bc1012	Spermidine	Microbe	-0.0004998464804292669	2.903526920898475e-08	0.0004998464804292669	-1.0	0.022357246709495935	-0.022357246709495935
159	bc1012	L-Valine	Microbe	-0.06274145899982378	0.0004574691449798642	0.06274145899982378	-1.0	0.25048245247885886	-0.25048245247885886
160	bc1010	Cu2+	Microbe	-0.000382411569909301	7.224480025564193e-10	0.000382411569909301	-1.0	0.019555346325475828	-0.019555346325475828
161	bc1008	Cu2+	Microbe	-0.00016030061161006334	8.46062066034311e-13	0.00016030061161006334	-1.0	0.012660987781767398	-0.012660987781767398
162	bc1008	NH3	Microbe	0.0008015030580457434	2.1151551650616878e-11	0.0008015030580457434	1.0	0.028310829342245405	0.028310829342245405
163	bc1012	GTP	Microbe	-0.02411931011600329	6.760554889866139e-05	0.02411931011600329	-1.0	0.15530392820532032	-0.15530392820532032
164	bc1008	meso-2,6-Diaminopimelate	Microbe	-0.0014287194281403025	6.720874187616104e-11	0.0014287194281403025	-1.0	0.0377984051004841	-0.0377984051004841
165	bc1010	meso-2,6-Diaminopimelate	Microbe	-0.0034083390823619456	5.738919551094394e-08	0.0034083390823619456	-1.0	0.05838098219764674	-0.05838098219764674
166	bc1010	Sulfate	Microbe	-0.0003824115699090603	7.224480025158896e-10	0.0003824115699090603	-1.0	0.019555346325469673	-0.019555346325469673
167	bc1008	AMP	Microbe	-0.006053289723153812	1.206465163072566e-09	0.006053289723153812	-1.0	0.07780289019794709	-0.07780289019794709
168	bc1008	L-Cysteine	Microbe	-0.00434983498021435	6.229847670751389e-10	0.00434983498021435	-1.0	0.06595327876773338	-0.06595327876773338
169	bc1008	Sulfate	Microbe	-0.00016030061160895437	8.460620660225769e-13	0.00016030061160895437	-1.0	0.012660987781723603	-0.012660987781723603
170	bc1012	D-Glucose	Microbe	-0.9572909353340135	0.005692561705428644	0.9572909353340135	-1.0	0.9784124566531303	-0.9784124566531303
171	bc1010	AMP	Microbe	-0.009781230443427644	4.726411491214416e-07	0.009781230443427644	-1.0	0.09890010335397857	-0.09890010335397857
172	bc1012	Mn2+	Microbe	-0.0004998464804315827	2.9035269209659777e-08	0.0004998464804315827	-1.0	0.022357246709547727	-0.022357246709547727
