	0.39745	0.7949	0.79545	0.796	1.17	1.772	Source	Target
bc1001##L-Lysine##Microbe	-0.41877285	-0.16372748	-0.16372748	-0.16372748	-5.04e-06	0.0	bc1001	L-Lysine
L-Lysine##bc1001##Metabolite	0.41877285	0.16372748	0.16372748	0.16372748	5.04e-06	0.0	L-Lysine	bc1001
bc1001##L-Methionine##Microbe	-0.17926652	-0.07008777	-0.07008777	-0.07008777	-2.16e-06	0.0	bc1001	L-Methionine
L-Methionine##bc1001##Metabolite	0.17926652	0.07008777	0.07008777	0.07008777	2.16e-06	0.0	L-Methionine	bc1001
bc1001##L-Phenylalanine##Microbe	-0.22669919	-0.08863251	-0.08863251	-0.08863251	-2.73e-06	0.0	bc1001	L-Phenylalanine
L-Phenylalanine##bc1001##Metabolite	0.22669919	0.08863251	0.08863251	0.08863251	2.73e-06	0.0	L-Phenylalanine	bc1001
bc1001##L-Proline##Microbe	-0.27047108	-0.10574599	-0.10574599	-0.10574599	-3.25e-06	0.0	bc1001	L-Proline
L-Proline##bc1001##Metabolite	0.27047108	0.10574599	0.10574599	0.10574599	3.25e-06	0.0	L-Proline	bc1001
bc1001##L-Serine##Microbe	-0.3130957	-0.12241092	-0.12241092	-0.12241092	-3.76e-06	0.0	bc1001	L-Serine
L-Serine##bc1001##Metabolite	0.3130957	0.12241092	0.12241092	0.12241092	3.76e-06	0.0	L-Serine	bc1001
bc1001##L-Threonine##Microbe	-0.30966979	-0.12107149	-0.12107149	-0.12107149	-3.72e-06	0.0	bc1001	L-Threonine
L-Threonine##bc1001##Metabolite	0.30966979	0.12107149	0.12107149	0.12107149	3.72e-06	0.0	L-Threonine	bc1001
bc1001##L-Tryptophan##Microbe	-0.06925105	-0.02707506	-0.02707506	-0.02707506	-8.3e-07	0.0	bc1001	L-Tryptophan
L-Tryptophan##bc1001##Metabolite	0.06925105	0.02707506	0.02707506	0.02707506	8.3e-07	0.0	L-Tryptophan	bc1001
bc1001##L-Tyrosine##Microbe	-0.17704749	-0.0692202	-0.0692202	-0.0692202	-2.13e-06	0.0	bc1001	L-Tyrosine
L-Tyrosine##bc1001##Metabolite	0.17704749	0.0692202	0.0692202	0.0692202	2.13e-06	0.0	L-Tyrosine	bc1001
bc1001##L-Valine##Microbe	-0.51676962	-0.20204125	-0.20204125	-0.20204125	-6.21e-06	0.0	bc1001	L-Valine
L-Valine##bc1001##Metabolite	0.51676962	0.20204125	0.20204125	0.20204125	6.21e-06	0.0	L-Valine	bc1001
bc1001##Mg##Microbe	-0.00411698	-0.00160962	-0.00160962	-0.00160962	-5e-08	0.0	bc1001	Mg
Mg##bc1001##Metabolite	0.00411698	0.00160962	0.00160962	0.00160962	5e-08	0.0	Mg	bc1001
bc1001##Mn2+##Microbe	-0.00411698	-0.00160962	-0.00160962	-0.00160962	-5e-08	0.0	bc1001	Mn2+
