	MetConSIN	DirectDFBA	Difference	ABS_Difference	SameSign
bc1012##PPi	0.0030494367382812096	0.02836064	-0.02531120326171879	0.02531120326171879	1.0
bc1003##D-Glucose	-0.5490988420218013	-3.87106441	3.3219655679781983	3.3219655679781983	1.0
bc1012##BET	-0.000884203942305487	-0.00822335	0.007339146057694514	0.007339146057694514	1.0
bc1003##Ala-Ala	-0.0038260294606103575	-0.02697293	0.023146900539389642	0.023146900539389642	1.0
bc1003##D-Arabinose	-0.01147808838182543	-0.0809188	0.06944071161817457	0.06944071161817457	1.0
bc1003##Nitrite	-0.00014309197696115588	-0.00100878	0.000865688023038844	0.000865688023038844	1.0
bc1001##Mn2+	-0.00042755024823868786	-0.00301417	0.002586619751761312	0.002586619751761312	1.0
bc1012##L-Lysine	-0.04496990524237615	-0.41823304	0.37326313475762385	0.37326313475762385	1.0
bc1012##Niacin	0.00044210197115639334	0.00411168	-0.003669578028843607	0.003669578028843607	1.0
bc1012##AMP	-0.016915755339600973	-0.15732138	0.14040562466039905	0.14040562466039905	1.0
bc1009##Deoxyguanosine	-0.0004298889312808356	-0.00303065	0.0026007610687191645	0.0026007610687191645	1.0
bc1009##L-Arginine	-0.03779266514480668	-0.26643262	0.22863995485519334	0.22863995485519334	1.0
bc1003##L-Proline	-0.028201900208262395	-0.19881916	0.17061725979173759	0.17061725979173759	1.0
bc1003##Deoxyguanosine	-0.00042927593094481154	-0.00302633	0.0025970540690551883	0.0025970540690551883	1.0
bc1009##Putrescine	-0.0004298889312822137	-0.00303065	0.0026007610687177867	0.0026007610687177867	1.0
bc1001##Oxidized glutathione	-0.00021377512411040325	-0.00150708	0.0012933048758895969	0.0012933048758895969	1.0
bc1001##L-Alanine	-0.06901131643584076	-0.48651942	0.41750810356415924	0.41750810356415924	1.0
bc1012##H2O	1.1482622920844052	11.10692102	-9.958658727915594	9.958658727915594	1.0
bc1003##L-Aspartate	-0.030722359888708143	-0.21658803	0.18586567011129185	0.18586567011129185	1.0
bc1009##L-Threonine	-0.03233524057515919	-0.22795859	0.1956233494248408	0.1956233494248408	1.0
bc1012##meso-2,6-Diaminopimelate	-0.003940344762701582	-0.03664634	0.03270599523729842	0.03270599523729842	1.0
bc1012##O2	-1.0000000000000016	-7.04984988	6.049849879999998	6.049849879999998	1.0
bc1003##L-Glutamate	-0.03905843488115722	-0.2753561	0.23629766511884276	0.23629766511884276	1.0
bc1012##Succinate	1.7987682410883075	11.37268301	-9.573914768911692	9.573914768911692	1.0
bc1009##L-Histidine	-0.012142769667466288	-0.0856047	0.07346193033253372	0.07346193033253372	1.0
bc1012##CO2	2.0029205078006687	13.69910954	-11.696189032199332	11.696189032199332	1.0
bc1012##Fumarate	-1.7987682410882755	-11.37268301	9.573914768911724	9.573914768911724	1.0
