	0.34855	0.37629999999999997	0.40315	0.7985	Source	Target
meso-2,6-Diaminopimelate##bc1012##Metabolite	-0.35592995	-0.03308397999999999	-0.020276020000000002	-0.0303137	meso-2,6-Diaminopimelate	bc1012
bc1001##1,2-Diacyl-sn-glycerol dioctadecanoyl##Microbe	1.48144684	0.11483036999999999	0.06507260000000001	0.14847138000000001	bc1001	1,2-Diacyl-sn-glycerol dioctadecanoyl
1,2-Diacyl-sn-glycerol dioctadecanoyl##bc1001##Metabolite	-1.48144684	-0.11483036999999999	-0.06507260000000001	-0.14847138000000001	1,2-Diacyl-sn-glycerol dioctadecanoyl	bc1001
bc1001##4-Hydroxybenzoate##Microbe	0.03336916	0.00258652	0.00146574	0.0033442800000000003	bc1001	4-Hydroxybenzoate
4-Hydroxybenzoate##bc1001##Metabolite	-0.03336916	-0.00258652	-0.00146574	-0.0033442800000000003	4-Hydroxybenzoate	bc1001
bc1001##5-Aminolevulinate##Microbe	0.26695326	0.02069216	0.011725930000000002	0.0267542	bc1001	5-Aminolevulinate
5-Aminolevulinate##bc1001##Metabolite	-0.26695326	-0.02069216	-0.011725930000000002	-0.0267542	5-Aminolevulinate	bc1001
bc1001##AMP##Microbe	0.92224902	0.07148564999999998	0.04050982	0.09242828	bc1001	AMP
AMP##bc1001##Metabolite	-0.92224902	-0.07148564999999998	-0.04050982	-0.09242828	AMP	bc1001
bc1001##Acetate##Microbe	-69.37992007	-5.37779791	-3.04751496	-6.9532919699999995	bc1001	Acetate
bc1001##Adenosine##Microbe	0.35452542	0.027480080000000004	0.015572540000000003	0.03553073	bc1001	Adenosine
Adenosine##bc1001##Metabolite	-0.35452542	-0.027480080000000004	-0.015572540000000003	-0.03553073	Adenosine	bc1001
bc1001##Ala-Ala##Microbe	0.29741099	0.02305301	0.013063789999999999	0.02980669	bc1001	Ala-Ala
Ala-Ala##bc1001##Metabolite	-0.29741099	-0.02305301	-0.013063789999999999	-0.02980669	Ala-Ala	bc1001
bc1001##BET##Microbe	0.06673831000000001	0.00517304	0.00293148	0.006688550000000001	bc1001	BET
BET##bc1001##Metabolite	-0.06673831000000001	-0.00517304	-0.00293148	-0.006688550000000001	BET	bc1001
bc1001##BIOT##Microbe	0.03336916	0.00258652	0.00146574	0.0033442800000000003	bc1001	BIOT
BIOT##bc1001##Metabolite	-0.03336916	-0.00258652	-0.00146574	-0.0033442800000000003	BIOT	bc1001
bc1001##CMP##Microbe	1.00010962	0.0775208	0.04392984999999999	0.10023151000000001	bc1001	CMP
CMP##bc1001##Metabolite	-1.00010962	-0.0775208	-0.04392984999999999	-0.10023151000000001	CMP	bc1001
bc1001##CO2##Microbe	-86.20121918000001	-6.68165567	-3.786391	-8.63913138	bc1001	CO2
bc1001##Ca2+##Microbe	0.03336916	0.00258652	0.00146574	0.0033442800000000003	bc1001	Ca2+
Ca2+##bc1001##Metabolite	-0.03336916	-0.00258652	-0.00146574	-0.0033442800000000003	Ca2+	bc1001
bc1001##Chorismate##Microbe	0.06673831000000001	0.00517304	0.00293148	0.006688550000000001	bc1001	Chorismate
Chorismate##bc1001##Metabolite	-0.06673831000000001	-0.00517304	-0.00293148	-0.006688550000000001	Chorismate	bc1001
bc1001##Cl-##Microbe	0.03336916	0.00258652	0.00146574	0.0033442800000000003	bc1001	Cl-
Cl-##bc1001##Metabolite	-0.03336916	-0.00258652	-0.00146574	-0.0033442800000000003	Cl-	bc1001
bc1001##Co2+##Microbe	0.03336916	0.00258652	0.00146574	0.0033442800000000003	bc1001	Co2+
Co2+##bc1001##Metabolite	-0.03336916	-0.00258652	-0.00146574	-0.0033442800000000003	Co2+	bc1001
bc1001##CoA##Microbe	0.06673831000000001	0.00517304	0.00293148	0.006688550000000001	bc1001	CoA
CoA##bc1001##Metabolite	-0.06673831000000001	-0.00517304	-0.00293148	-0.006688550000000001	CoA	bc1001
bc1001##Cu2+##Microbe	0.03336916	0.00258652	0.00146574	0.0033442800000000003	bc1001	Cu2+
Cu2+##bc1001##Metabolite	-0.03336916	-0.00258652	-0.00146574	-0.0033442800000000003	Cu2+	bc1001
bc1001##D-Arabinose##Microbe	0.8922329600000001	0.06915904	0.03919135999999998	0.08942006000000001	bc1001	D-Arabinose
D-Arabinose##bc1001##Metabolite	-0.8922329600000001	-0.06915904	-0.03919135999999998	-0.08942006000000001	D-Arabinose	bc1001
bc1001##D-Glucose##Microbe	42.82354615	3.3193520100000002	1.88102548	4.29179825	bc1001	D-Glucose
D-Glucose##bc1001##Metabolite	-42.82354615	-3.3193520100000002	-1.88102548	-4.29179825	D-Glucose	bc1001
bc1001##Deoxycytidine##Microbe	0.27443692	0.021272240000000005	0.012054649999999997	0.02750421	bc1001	Deoxycytidine
Deoxycytidine##bc1001##Metabolite	-0.27443692	-0.021272240000000005	-0.012054649999999997	-0.02750421	Deoxycytidine	bc1001
bc1001##Deoxyguanosine##Microbe	0.03336916	0.00258652	0.00146574	0.0033442800000000003	bc1001	Deoxyguanosine
Deoxyguanosine##bc1001##Metabolite	-0.03336916	-0.00258652	-0.00146574	-0.0033442800000000003	Deoxyguanosine	bc1001
bc1001##Folate##Microbe	0.10010747	0.007759559999999999	0.00439722	0.010032830000000001	bc1001	Folate
Folate##bc1001##Metabolite	-0.10010747	-0.007759559999999999	-0.00439722	-0.010032830000000001	Folate	bc1001
bc1001##Formate##Microbe	0.03336916	0.00258652	0.00146574	0.0033442800000000003	bc1001	Formate
Formate##bc1001##Metabolite	-0.03336916	-0.00258652	-0.00146574	-0.0033442800000000003	Formate	bc1001
bc1001##GTP##Microbe	1.61017649	0.12480849999999999	0.07072703999999999	0.16137273000000002	bc1001	GTP
GTP##bc1001##Metabolite	-1.61017649	-0.12480849999999999	-0.07072703999999999	-0.16137273000000002	GTP	bc1001
bc1001##Glycerol##Microbe	0.74072342	0.057415190000000005	0.032536289999999995	0.07423569	bc1001	Glycerol
Glycerol##bc1001##Metabolite	-0.74072342	-0.057415190000000005	-0.032536289999999995	-0.07423569	Glycerol	bc1001
bc1001##Glycine##Microbe	5.9629574000000005	0.4622025999999999	0.2619230800000001	0.59761071	bc1001	Glycine
Glycine##bc1001##Metabolite	-5.9629574000000005	-0.4622025999999999	-0.2619230800000001	-0.59761071	Glycine	bc1001
bc1001##H+##Microbe	-61.13981844	-4.73908859	-2.685568270000001	-6.12746466	bc1001	H+
bc1001##H2O##Microbe	-157.52439769	-12.210080019999996	-6.919263650000001	-15.78717773	bc1001	H2O
bc1001##Heme##Microbe	0.03336916	0.00258652	0.00146574	0.0033442800000000003	bc1001	Heme
Heme##bc1001##Metabolite	-0.03336916	-0.00258652	-0.00146574	-0.0033442800000000003	Heme	bc1001
bc1001##K+##Microbe	0.03336916	0.00258652	0.00146574	0.0033442800000000003	bc1001	K+
K+##bc1001##Metabolite	-0.03336916	-0.00258652	-0.00146574	-0.0033442800000000003	K+	bc1001
bc1001##L-Alanine##Microbe	5.386149270000001	0.41749288000000007	0.2365867599999999	0.5398027000000001	bc1001	L-Alanine
L-Alanine##bc1001##Metabolite	-5.386149270000001	-0.41749288000000007	-0.2365867599999999	-0.5398027000000001	L-Alanine	bc1001
bc1001##L-Arginine##Microbe	2.9335702500000003	0.22738780999999997	0.12885716000000003	0.29400395	bc1001	L-Arginine
L-Arginine##bc1001##Metabolite	-2.9335702500000003	-0.22738780999999997	-0.12885716000000003	-0.29400395	L-Arginine	bc1001
bc1001##L-Asparagine##Microbe	2.38815918	0.18511172999999997	0.10489996000000001	0.23934257	bc1001	L-Asparagine
L-Asparagine##bc1001##Metabolite	-2.38815918	-0.18511172999999997	-0.10489996000000001	-0.23934257	L-Asparagine	bc1001
bc1001##L-Aspartate##Microbe	2.38815918	0.18511172999999997	0.10489996000000001	0.23934257	bc1001	L-Aspartate
L-Aspartate##bc1001##Metabolite	-2.38815918	-0.18511172999999997	-0.10489996000000001	-0.23934257	L-Aspartate	bc1001
bc1001##L-Cysteine##Microbe	0.9054882900000001	0.07018648999999999	0.039773600000000006	0.09074851	bc1001	L-Cysteine
L-Cysteine##bc1001##Metabolite	-0.9054882900000001	-0.07018648999999999	-0.039773600000000006	-0.09074851	L-Cysteine	bc1001
bc1001##L-Glutamate##Microbe	3.03615216	0.23533917000000004	0.13336306999999997	0.30428477	bc1001	L-Glutamate
L-Glutamate##bc1001##Metabolite	-3.03615216	-0.23533917000000004	-0.13336306999999997	-0.30428477	L-Glutamate	bc1001
bc1001##L-Glutamine##Microbe	2.53852624	0.19676703999999995	0.11150483	0.25441244	bc1001	L-Glutamine
L-Glutamine##bc1001##Metabolite	-2.53852624	-0.19676703999999995	-0.11150483	-0.25441244	L-Glutamine	bc1001
bc1001##L-Histidine##Microbe	0.9425550699999999	0.07305962000000002	0.04140174999999999	0.09446337	bc1001	L-Histidine
L-Histidine##bc1001##Metabolite	-0.9425550699999999	-0.07305962000000002	-0.04140174999999999	-0.09446337	L-Histidine	bc1001
