	MetConSIN	DirectDFBA	Difference	ABS_Difference	SameSign
bc1015##Glycerol	-0.012903878061706306	-0.0781660921535	0.0652622140917937	0.0652622140917937	1.0
bc1015##TRHL	-0.012270186685002727	-0.074327459778	0.06205727309299727	0.06205727309299727	1.0
bc1015##ddca	-0.013534038472479637	-0.0819833208155	0.06844928234302036	0.06844928234302036	1.0
bc1010##H2O	2.9007683112589815	16.6686812781125	-13.767912966853519	13.767912966853519	1.0
bc1011##Pyridoxal	-0.0006109473676251773	-0.003510701233	0.0028997538653748227	0.0028997538653748227	1.0
bc1002##Zn2+	-0.0006121871408490856	-0.003513342027	0.0029011548861509143	0.0029011548861509143	1.0
bc1010##L-Glutamate	-0.030701067615988058	-0.17641750093500003	0.14571643331901196	0.14571643331901196	1.0
bc1015##Mn2+	-0.0005813121621119378	-0.0035213425390000002	0.0029400303768880626	0.0029400303768880626	1.0
bc1015##L-Serine	-0.04420867661260044	-0.26779695822099997	0.22358828160839953	0.22358828160839953	1.0
bc1011##Folate	-0.001832842102866788	-0.010532091979500002	0.008699249876633215	0.008699249876633215	1.0
bc1010##S-Adenosyl-L-methionine	-0.0018297761346949709	-0.010514438506000002	0.008684662371305031	0.008684662371305031	1.0
bc1010##H+	1.118119068216046	6.4250461922660005	-5.306927124049954	5.306927124049954	1.0
bc1011##Formate	-0.0006109473676205218	-0.003510701233	0.0028997538653794783	0.0028997538653794783	1.0
bc1015##Heme	-0.0005813121621090074	-0.0035213425390000002	0.002940030376890993	0.002940030376890993	1.0
bc1015##CoA	-0.0011626243242229377	-0.0070426733585	0.005880049034277062	0.005880049034277062	1.0
bc1015##Oxidized glutathione	-0.00029065608105547844	-0.0017606712695000001	0.0014700151884445216	0.0014700151884445216	1.0
bc1011##L-Isoleucine	-0.05264354407016523	-0.30250658183850004	0.24986303776833482	0.24986303776833482	1.0
bc1011##L-Glutamine	-0.06886906235702746	-0.39574358378100005	0.3268745214239726	0.3268745214239726	1.0
bc1002##H+	1.1138794449654432	6.392548655525499	-5.278669210560056	5.278669210560056	1.0
bc1002##Glycine	-0.10878361900792952	-0.6243086524155	0.5155250334075705	0.5155250334075705	1.0
bc1015##L-Methionine	-0.02531218236421115	-0.1533301992235	0.12801801685928885	0.12801801685928885	1.0
bc1002##L-Aspartate	-0.04381292382066802	-0.2514421576745	0.20762923385383197	0.20762923385383197	1.0
bc1011##Thiamin	-0.0006109473676245673	-0.003510701233	0.002899753865375433	0.002899753865375433	1.0
bc1011##D-Glucose	-0.8058911214068336	-4.630907241909	3.825016120502166	3.825016120502166	1.0
bc1010##NADP	-0.0012198507564555815	-0.0070096321815	0.005789781425044419	0.005789781425044419	1.0
bc1015##L-Histidine	-0.01641991494961371	-0.09946470517749999	0.08304479022788627	0.08304479022788627	1.0
bc1002##Putrescine	-0.0006121871408495531	-0.003513342027	0.002901154886150447	0.002901154886150447	1.0
bc1002##AMP	-0.02342357323033212	-0.13442776688900002	0.1110041936586679	0.1110041936586679	1.0
bc1011##L-Histidine	-0.017256999713609125	-0.09916422501050001	0.08190722529689089	0.08190722529689089	1.0
bc1011##Adenosine	-0.0066309799652190145	-0.038103719732	0.031472739766780986	0.031472739766780986	1.0
