	0.0000-0.0000	0.0000-0.0012	0.0012-0.0727	0.0727-0.0728	0.0728-0.0732	0.0732-20.0000	Source	Target
Folate##Folate##Turicimonas_muris_YL45	-1.000000000000002	-0.9999999999999978	-0.9999999999999978	-0.9999999999999978	-0.9999999999999978	-0.9999999999999978	Folate	Folate
Riboflavin##Riboflavin##Turicimonas_muris_YL45	-1.000000000000344	-0.9999999999997204	-0.9999999999997204	-0.9999999999997204	-0.9999999999997204	-0.9999999999997204	Riboflavin	Riboflavin
Riboflavin##Niacin##Turicimonas_muris_YL45	-1.000000000003012	-1.0000000000022737	-1.0000000000022737	-1.0000000000022737	-1.0000000000022737	-1.0000000000022737	Riboflavin	Niacin
Riboflavin##PAN##Turicimonas_muris_YL45	-1.0000000000479108	-1.0000000000479423	-1.0000000000479423	-1.0000000000479423	-1.0000000000479423	-1.0000000000479423	Riboflavin	PAN
Riboflavin##Pyridoxal##Turicimonas_muris_YL45	-0.49999999999689765	-0.4999999999965697	-0.4999999999965697	-0.4999999999965697	-0.4999999999965697	-0.4999999999965697	Riboflavin	Pyridoxal
Riboflavin##carbonate##Turicimonas_muris_YL45	-272.08718788733535	-272.0871878871393	-272.0871878871393	-272.0871878871393	-272.0871878871393	-272.0871878871393	Riboflavin	carbonate
Fumarate-e0##H+-e0##Bacteroides_caecimuris_I48	0.0	1.0000000000097033	1.0000000000082263	-1.000000000004948	0.0	0.0	Fumarate-e0	H+-e0
O2-e0##H+-e0##Bacteroides_caecimuris_I48	0.0	2.0000000000225486	2.000000000014975	-1.999999999995776	0.0	0.0	O2-e0	H+-e0
Fumarate-e0##D-Glucose-e0##Bacteroides_caecimuris_I48	0.0	-0.5000000000082566	-0.500000000006037	0.0	0.0	0.0	Fumarate-e0	D-Glucose-e0
O2-e0##D-Glucose-e0##Bacteroides_caecimuris_I48	0.0	-1.000000000019184	-1.0000000000082003	0.0	0.0	0.0	O2-e0	D-Glucose-e0
Fumarate-e0##NH3-e0##Bacteroides_caecimuris_I48	0.0	-2.1333333333205453	-0.9999999999924681	0.0	-0.9999999999996193	-0.9999999999984859	Fumarate-e0	NH3-e0
O2-e0##NH3-e0##Bacteroides_caecimuris_I48	0.0	-5.3333333333031225	0.0	1.9999999999978157	0.0	0.0	O2-e0	NH3-e0
